id,is_active,from_timestamp,to_timestamp,total_withdrawn1,sqrt_price,total_fees0,in_range,fees_value,total_fees1,first_mint_ts,pool,age,og_owner,collected_fees0,price_upper,collected_fees1,uncollected_fees1,nft_id,diffs0,current_amount0,underlying_value,token1,token0,liquidity,real_owner,total_deposits1,withdrawals_value,pool_tick,now_ts,exited,deposits_value,diffs1,total_withdrawn0,tick_upper,network,exchange,current_amount1,pool_price,total_deposits0,fee_tier,price_lower,autocompounding,owner,uncollected_fees0,tick_lower,performance_hodl_pnl,performance_hodl_pool_pnl,performance_hodl_il,performance_hodl_apr,performance_hodl_pool_apr,performance_hodl_roi,performance_hodl_pool_roi,performance_hodl_fee_apr,performance_token0_pnl,performance_token0_roi,performance_token0_apr,performance_token0_pool_pnl,performance_token0_pool_roi,performance_token0_pool_apr,performance_token0_il,performance_token0_fee_apr,performance_token1_pnl,performance_token1_roi,performance_token1_apr,performance_token1_pool_pnl,performance_token1_pool_roi,performance_token1_pool_apr,performance_token1_il,performance_token1_fee_apr,performance_eth_pnl,performance_eth_roi,performance_eth_apr,performance_eth_pool_pnl,performance_eth_pool_roi,performance_eth_pool_apr,performance_eth_il,performance_eth_fee_apr,performance_usd_pnl,performance_usd_roi,performance_usd_apr,performance_usd_pool_pnl,performance_usd_pool_roi,performance_usd_pool_apr,performance_usd_il,performance_usd_fee_apr,tokens
963546_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,False,1744210379,1745830687,179.189108990263576893,1862695979008567675129443910647678,2553.380014,True,5423.039521631497092064333552,1.587832668243272294,1744210379,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,18.75356481,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,2553.380014,6.898483976304826E-4,1.587832668243272294,0.0,963546,54561.821611,0.0,0E-10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,214.778666255155594956,389963.790956723621380151169544,201314,1745830687,True,399722.293155779937817800404448,-35.589557264892018063,66118.753276,203530,mainnet,uniswapv3,0.0,5.527449540374464E-4,11556.931665,500,4.000138246178056E-4,False,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,198080,-4340.1141280546073588068007032,-4335.462677424819345584901352,-9758.502199056316437649234904,,,,,,28423.0235734671495396757146082,,,28426.948002696977375610820024,,,23358.616896192440003151959722,,1.2184032595692169838,,,1.2209769883496025127,,,-1.9789514848855787232,,1.2184032610555628482237541000246556770686704,,,1.2209769898359483771237541000246556770686704,,,-1.9789514834079862476816819093452718884749591,,28423.0235734671495396757146082,,,28426.948002696977375610820024,,,23358.616896192440003151959722,,"[{""address"": ""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"", ""decimals"": 6, ""symbol"": ""USDC"", ""price"": ""1.000000000"", ""prices"": {""usd"": ""1.000000000"", ""source"": ""uniswapv3""}}, {""address"": ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""decimals"": 18, ""symbol"": ""WETH"", ""price"": ""1807.280808"", ""prices"": {""usd"": ""1807.280808"", ""source"": ""uniswapv3""}}]"
969004_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,False,1744896767,1745830687,180.429878338467195534,1863660349423859289774777833414226,121.220718,True,261.808734317506910883936936,0.077789802057980417,1744896767,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,10.80925926,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,121.220718,6.933061037984362E-4,0.077789802057980417,0.0,969004,-845.315506,0.0,0E-10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,179.899999999138107884,395599.199140886690626181511472,201324,1745830687,True,395486.875693642318920186690272,0.529878339329087650,69511.74283,203580,mainnet,uniswapv3,0.0,5.533174456030549E-4,70357.058336,3000,3.9921463638193457E-4,False,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,198060,371.1604755801235590613050872,374.132181561878616878758136,112.323447244371705994821200,,,,,,-98.8184165437395550971835729,,,-96.194790793262652736288379,,,-341.439976783657790007450902,,0.2042541405562010319,,,0.2058984373188295530,,,0.0520773826225417642,,0.2042541407390834747962106341769284262982104,,,0.2058984375017119958962106341769284262982104,,,0.0520773828016439812278068754678525715394556,,-98.8184165437395550971835729,,,-96.194790793262652736288379,,,-341.439976783657790007450902,,"[{""address"": ""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"", ""decimals"": 6, ""symbol"": ""USDC"", ""price"": ""1.000000000"", ""prices"": {""usd"": ""1.000000000"", ""source"": ""uniswapv3""}}, {""address"": ""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"", ""decimals"": 18, ""symbol"": ""WETH"", ""price"": ""1807.280808"", ""prices"": {""usd"": ""1807.280808"", ""source"": ""uniswapv3""}}]"
4391575_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,False,1745293754,1745830687,235614.287029,3370112482490703103092705,0.393398599982191622,True,1466.437140284068653418136222,756.637571,1745293754,0xc6962004f452be9203591991d15f6b388e09e8d0,6.214502315,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.393398599982191622,2057.0356061679677,756.637571,0.0,4391575,-98.272890671383040079,0.0,0E-11,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,69482.575029,392009.353991022025301213244178,-201313,1745830687,True,403625.461282558933532792788957,166131.712000,86.727109325955468778,-200030,arbitrum,uniswapv3,0.0,1809.3793319633041,184.999999997338508857,500,1487.7756009078605,False,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,-203270,-10149.705356511792541281666557,-10149.670151252839578161408557,-11616.107291536908231579544779,,,,,,-11.2437341652817799162,,,-11.2437146786809219162,,,-12.0552662666902777761,,32346.589110109592430335719053,,,32346.623269164199138492115053,,,30878.140584711269761501135689,,-11.2437341750714966758807661224955382589950035,,,-11.2437146884706386758807661224955382589950035,,,-12.0552662764447152541392963626954981026689620,,33908.351699637638621755421390,,,33908.385892938105752075541390,,,32437.083328109398425463814310,,"[{""address"": ""0xaf88d065e77c8cc2239327c5edb3a432268e5831"", ""decimals"": 6, ""symbol"": ""USDC"", ""price"": ""0.9987711390"", ""prices"": {""usd"": ""0.9987711390"", ""source"": ""uniswapv3""}}, {""address"": ""0x82af49447d8a07e3bd95bd0d56f35241523fbab1"", ""decimals"": 18, ""symbol"": ""WETH"", ""price"": ""1806.639301"", ""prices"": {""usd"": ""1806.639301"", ""source"": ""uniswapv3""}}]"
4384548_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,False,1745034746,1745830687,69339.592748,3370112482490703103092705,0.20713244841314813,True,701.40937401029067179265713,327.598325,1745034746,0xc6962004f452be9203591991d15f6b388e09e8d0,9.212280093,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.20713244841314813,2555.5183275341915,327.598325,0.0,4384548,5.553470121730154263,0.0,0E-11,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,78161.231053,404428.376402613214133214907518,-201313,1745830687,True,403206.056761497142719886417355,-8821.638305,185.523470119560470118,-197860,arbitrum,uniswapv3,0.0,1809.3793319633041,179.969999997830315855,500,1422.312927987806,False,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,0.0,-203720,1923.7153696158544181434959240913,1923.729015126362085121147293,1222.319641116071413328490163,,,,,,1.0116487317144325093013,,,1.0116562846944325093,,,0.5969610860408211143,,-3078.5386594928421627472039738300,,,-3078.526639477289514859276205,,,-3733.044139777080141421431505,,1.0116487313019962254183572685798398327993650,,,1.0116562842819962254170572685798398327993650,,,0.5969610856260706989133732996252782529245725,,-2757.1288877407013954690375267720,,,-2757.116893109238741241105155,,,-3410.617527582583550536650055,,"[{""address"": ""0xaf88d065e77c8cc2239327c5edb3a432268e5831"", ""decimals"": 6, ""symbol"": ""USDC"", ""price"": ""0.9987711390"", ""prices"": {""usd"": ""0.9987711390"", ""source"": ""uniswapv3""}}, {""address"": ""0x82af49447d8a07e3bd95bd0d56f35241523fbab1"", ""decimals"": 18, ""symbol"": ""WETH"", ""price"": ""1806.639301"", ""prices"": {""usd"": ""1806.639301"", ""source"": ""uniswapv3""}}]"
