position_id,timestamp,amount0,amount1,liquidity,current_tick,current,type,owner,prices_token0_usd,prices_token0_eth,prices_token0_token1,prices_token0_token_key,prices_token1_usd,prices_token1_eth,prices_token1_token0,prices_token1_token_key,prices_native_token_usd,prices_native_token_eth,prices_native_token_token0,prices_native_token_token1,prices_native_token_token_key
417295_0x75e126db7f730fada6c3b879413bea339a357e50,1745830609,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0x75e126db7f730fada6c3b879413bea339a357e50,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
417781_0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,1745830638,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0x2f4594ffe5868c25e941b5a03af3f8d0deb52505,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
417570_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1745830640,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
97802_0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,1745830643,2.49999879E-17,2.4999986759999998E-17,10013,0,True,current-amount-state,0xd504bd85eb78e6f37afd2d6124edfce14c0b037b,0.0,0,0,token0,0.0,0,0,token1,606.4639043,0.3355661614323503,0,0,native-token
418546_0x84754ff267164b75413ad01f35429e52125c0cdf,1745830648,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0x84754ff267164b75413ad01f35429e52125c0cdf,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
417651_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1745830650,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
417773_0x077490ea44ead91c83d019b96cb9792ec04175cf,1745830654,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0x077490ea44ead91c83d019b96cb9792ec04175cf,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
417429_0x965f166c972ac0ce323a9f017b11c5944eb96fd8,1745830689,0.05981737778,0.05981737797,10000000000000000001,0,True,current-amount-state,0x965f166c972ac0ce323a9f017b11c5944eb96fd8,0.0,0,0,token0,0.0,0,0,token1,1807.280808,1,0,0,native-token
784781_0xbf246450f226f236ffd523dd527d28c5a852d6dd,1745830716,0.0,0.0,0,-201313,True,current-amount-state,0xbf246450f226f236ffd523dd527d28c5a852d6dd,1806.639301,1,1809.379332,token0,0.9984856515,0.0005526757061577184,0.0005526757062,token1,1806.639301,1,1,1809.379332,native-token
4391575_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1745830687,0.0,0.0,0,-201313,True,current-amount-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1806.639301,1,1808.862141,token0,0.998771139,0.0005528337274837813,0.0005528337275,token1,1806.639301,1,1,1808.862141,native-token
4384548_0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1745830687,0.0,0.0,0,-201313,True,current-amount-state,0xaff0915364800bd6a97f1d7a23f58ee4b1225053,1806.639301,1,1808.862141,token0,0.998771139,0.0005528337274837813,0.0005528337275,token1,1806.639301,1,1,1808.862141,native-token
4127942_0xb515c3052193d329b34dccfc9e25750b7df0c40b,1745830692,0.0,0,0,-201313,True,current-amount-state,0xb515c3052193d329b34dccfc9e25750b7df0c40b,1809.481207,1,1811.587218,token0,0.9988374774,0.0005520021283948865,0.0005520021284,token1,1809.481207,1,1,1811.587218,native-token
4246114_0xb515c3052193d329b34dccfc9e25750b7df0c40b,1745830692,0.0,0,0,-201313,True,current-amount-state,0xb515c3052193d329b34dccfc9e25750b7df0c40b,1809.481207,1,1811.587218,token0,0.9988374774,0.0005520021283948865,0.0005520021284,token1,1809.481207,1,1,1811.587218,native-token
